label1_id	text
更换乘机人	17
我换航班座位	16
app如何买票？	14
老人乘机需要什么条件	9
我用手机值机提示不能为非本人值机，但我是给我自己值机	17
人工服务	3
什么时候手机值机	17
旧护照没有提取的行程。护照号：G40990668，姓名：吕颖，删除原因：已过期并已更换新护照。	6
无法办理值机	17
我通过航旅纵横下单的接机服务，发票如何开？	15
如何进行里程升舱？	8
请问如何在大人那里添加小孩的选位的	17
可以替别人选座位吗	17
航旅纵横可以订票吗？	14
手动添加的行程可以值机吗	17
改手机号	6
没带身份证	1
我需要行程单	5
如何选座	17
接机怎么开发票	15
你好！我现在还能打3月份的行程单吗？	5
怎么样买机票	14
延误证明	16
选座位什么时候开放	17
哦	13
国际飞行记录	2
有客服电话马	3
她和主乘人不同行程，可以值机吗	17
添加护照	6
你好，请问我手机值机时为什么要我输入本人信息?信息输入完后又说我是非本人行程?	17
帮我取消值机	17
你好	7
身份信息已被使用	6
怎么帮同行人选座	17
我2011兑换了提取码，没记下兑换码，我现在找不到了	10
无法取消值机	17
国际航班不能提前选位吗？	17
查看一下我最近的订单	2
请人工帮我取消值机	17
行李托运另付钱吗	20
哪里办临时身份证	1
你好怎么看值机成功	17
hi	7
怎么选座	17
曹尼玛	12
在吗	7
查询我预定的机票	14
值机选座怎么选不了	17
为什么未来行程这里找不到	2
为什么我没有退票结果航旅纵横显示我已退票了	2
飞香港澳门可以选座位吗	17
FM9451昆明长水14点飞上海，机上有配餐吗？	16
为什么不能选座位呢	17
如何确定是不是联程机票	14
你们没有人工服务吗	3
网上值机选座后，如果到达机场时已经停止办理值机，可以正常领取登机牌和托运行李吗	17
座位怎么选	17
～有一张机票，张国柱的明天飞往长沙的11:40停飞了，要求取消选座	17
如何查看机票种类	14
可以用护照登机吗？	1
我是想问我明天的行程有免费托运额吗？	20
CZ3965航班是什么时候可以值机？	17
取消值机	17
无法值机	17
怎么取消不了值机	17
帮他人值机	17
没有订票为什么出现无效票？	2
怎样帮同行的人添加到航旅纵横来	17
你是智障吗	12
常用联系人在哪里	17
为什么春秋航空的没有记录	2
怎么还没有认证审核完成？	6
我买了一张新加坡去印度尼西亚的机票没显示	2
你好，	7
持有身份证的幼儿如何办理值机	1
提前多久进场？	16
大韩航空可以在线选座吗	17
手机可以开飞行模式么	16
为什么一年前的航班不显示	2
办不了值机	17
A67140什么时间开始值机	16
提前多少时间去机场	16
请问今天的值机信息为什么一直没有收到	17
如何获取报销纸质	5
怎样联系航空公司呢	3
现在是需要完成乘机后才会显示航线吗	2
过了值机时间还能办理托运吗	16
我朋友给我买的机票，但是我这里差不了	14
最晚的登机时间是什么时候	16
经济舱免费托运45公斤？	20
请问波音738飞机什么位置是安全出口	17
中国国际航空公司国际航班行李限额多少公斤啊	20
怎么使用手机提前选座	17
如何删除常用联系人	17
机票发票	5
国际航班为什么看不到价格	14
电子发票事项如何处理	5
为什么我没免费行李？	20
祥鹏公司没有免费托运行李吗？？	20
东航飞机无法添加通行人选座	17
28寸行李箱可以托运吗？	20
我想问一下，在这里选座后，去办理托运拿登机牌的时候座位和我选的是一样的吗	17
国际行程不显示	2
如何购买机票？	14
vj605免费托运行李	20
登机的流程	17
你好，护照订的行程为什么没有自动导入呢？	2
我未办理值机？为什么系统提示已值机？	17
先安检还是先托运	17
发票	5
兑换里程	16
网上值机成功还需要再办理值机吗	17
如何申请有氧仓位	9
托运行李重量限额多少	20
如何退机票	16
我国际航班没显示，没法值机	17
取消选座	17
中转机场是否需要取行李	16
无法看到常用联系人航班信息	2
为什么我的值机显示不是本人行程？	17
可以帮别人选座位吗？	17
客服电话	3
不显示乘机凭证	5
为什么不能选座呀	17
有电话吗	3
托运可以带洗漱用品么	20
人工客服	3
手机选座位	17
如何选座啊	17
婴儿怎么值机	17
怎么样购买行李托运额	20
离线看航线	2
我添加的行程为什么都没有通过	2
报销	5
在么	7
添加同行人	17
想添加孩子的信息 怎么添加啊	17
cz6184为什么不能在手机上值机？	17
6月16号东航MU5953次航班起飞了吗？	0
为什么我的身份证认证不了	6
儿童乘机证件	1
放行李箱托运可以吗	20
在航旅纵横可以买机票吗？	14
没有任何凭证怎么添加行程	2
新手机号被注册	6
笔记本电脑可以托运吗	20
为什么我这航班不能选座	17
怎么取消值机页面不显示	17
你好！七月二号，南苑机场KN2201次航班 行李限额是多少	20
怎么预定儿童套餐	16
发票无法开具	5
厦门航空公司电话	3
票退了还会显示吗	2
我没有操作过值机，系统怎么给我选定了座位？	17
哦，知道了	13
客服电话是什么	3
有没有人工客服啊	3
人工客服电话	3
为什么没有我的行程？	2
绵阳机场晚上关门吗	9
怎样用航旅纵横打印机票票据	5
提前多久到机场办手续	16
请问是每个航空公司都可以值机吗。	17
托运时间	16
行程单	5
任何渠道买票都可以选座位么	14
航旅纵横客服电话	3
飞机可以用蓝牙吗	16
网上值机后，行李箱怎么办	20
无法取消他人值机	17
你们的客服电话	3
福州航空行李托运收费标准是多少？	20
怎么取消值机？	17
有在线客服嘛？	3
托运行李注意事项	20
为什么航旅纵横中有航班信息但是航线图不显示	2
福州到香港的机票可以值机吗	17
为什么点击购票没反应？	14
如何打印以前的登机牌	19
机场电话	3
选座功能在哪里	17
您好，机票如何付款	14
我选了四个人的值机	17
可以由家人帮忙选座吗？	17
没带身份证是否可以办理登机	1
请问如何为同行旅客选座	17
托运限重多少？	20
怎么注销	6
请问怎么判断是否行李直挂	16
取消我的值机	17
怎么订票	14
是人工客服吗	3
为什么没有我出国的记录	2
怎么查询机票预订信息	14
您好	7
谢谢！	13
怎么办行程单	5
Ca1321航班无法值机	17
谢谢	13
不能值机	17
为什么改变我的值机座位	17
这个不是本人的证件	6
航班取消，如何取消原有值机？	17
你好，两个人同用一个行李箱，托运限量可以叠加吗	20
我们一共4个人，已经给三个人选了座位还有一个怎么选	17
如何取消值机	17
查找行李	20
怎么取票	19
儿童票不能值机	17
青岛航空可以手机值机吗	17
机场雷达在哪里	16
选座时候显示行程保护	17
为什么不能值机	17
怎么查询别人的信息	2
长水机场临时身份证办理	1
会话失效	12
你好别人帮我预订的票我怎么显示在航旅纵横上呢	2
我要取消选座	17
请问10岁孩子怎么进行值机？	17
 可以用身份证查订单吗？	2
请问如何选择国际航班的座位？	17
取消值机无法操作	17
航旅纵横怎么购买行李额	20
为别人买机票怎么样在航旅纵横选坐	17
福州长乐国际机场＋临时身份证办理	1
怎么选座位	17
儿童做飞机要带什么证件	1
幫我認證護照	6
你好在吗	7
飞行记录	2
怎么查看之前选的位置？	17
为什么证件格式错误	6
航班延误已发更改起飞时间，是按照原起飞时间去机场还是按照更改时间去	0
托运行李后，发票在哪里打印	5
办理不了值机	17
已预订的机票哪里可查询？	14
怎么删除旧证件	6
发票怎么取	5
延误险	16
还是不能解决问题啊	12
改签机票需要补差价嘛	16
多久前可以订机票	14
我之前另一个号绑定过身份证   然后那个号注销了  为什么现在用不了航旅纵横	6
我的航班能否免费托运行李？	20
同行人值机办理	17
忘了怎么订机票了，已查询好航班，无法点开预订，怎么回事？	14
拥挤度	0
如何提取2009年行程	2
为什么我的座位被更换掉？	17
现在能预约值机返程吗？	17
我的好几个国际行程没有显示	2
花露水可以托运吗	20
也不行	12
怎么在线选座	17
如何取消别人的值机	17
帮忙把5月份的行程单邮寄给我	5
我怎么在APP上买不了票呢	14
7月13日深圳去重庆的深航ZH9425需要申请一份素餐。谢谢	16
如何打印行程单	5
机票得发票	5
儿童值机	17
可以用护照号查询机票吗	2
怎么取消值机	17
人呢	7
如何退改签	16
同行人没有+	17
添加常用联系人	17
80岁老人可以乘机吗	9
我订的国泰航空的机票怎么没有出现在行程中？	2
身份证过期怎么办	1
怎么拿发票	5
22寸行李箱需要托运吗	20
东方航空公司服务电话	3
非本人行程 无法值机	17
春秋航空公司的航班可以办理手机值机吗？	17
为什么我的航旅纵横有别人的航班提示？	2
什么时候可以手机选座位？	17
MU7780有免费托运行李么	20
看不到选座这一项就是还没开放选座吧	17
取消我的值机，我要改签！	17
怎样办理升舱？	8
如何办理电子登机牌	19
超重提前买	20
航班拥挤度是什么意思	0
为什么我预定不了位置	17
400毫升的乳液可以托运吗	20
你们有没有客服电话	3
每个人可以免费托运多少东西	20
已经买票了	14
东航支持电子值机吗	17
国际航班不会在行程中显现出来？	2
什么不能托运	20
国际航班阿胶糕可以托运吗	20
认证时名字对，身份证号对，为什么说证件格式错误？	6
什么时候停止托运	16
飞机托运哪些东西不能带	20
我要取消值机，怎么操作不了呢	17
提前选座	17
联航如何查询行程	2
好的，谢谢	13
你们的客服电话有没有？	3
我怎么取消值机	17
怎么修改卡包东方航空会员密码	6
如何邮寄行程单	5
起飞前多久停止检票	16
自己的账号可以帮别人选座吗？	17
可以提前几天值机？	16
如何办理机票快递？	19
退票	16
身份证号掉了怎么坐飞机	1
你好想注销此账号	6
托运对行李箱有啥要求	20
请问下周三，6月12日GS7898的航班，大的行李箱免费带吗？	20
我能否帮他人选座	17
资料认证姓名是对的，值机的姓名是错的，怎么办	17
护照添加不了	6
为什么选不了座	17
宁波飞澳门的航班怎么查询	2
好的。怎样才能联系到航空公司？	3
我可以帮朋友选座或值机吗	17
办理选座在哪	17
为什么办不了手机值机	17
没办法取消值机啊，好像是你们的系统出现故障了	17
你好，别人帮我定的南方航空的机票我自己为什么查询不到	2
这个APP能买机票吗？	14
为什么我之前可以预约值机（选座），现在不可以了？	17
可以自己选座位吗	17
你好，昨天已经值机，座位号为什么变更了	17
飞机突然降到浦东，我要取消约车订单	15
我预约过了，不小心取消了，现在也预约不了了	17
HU7716什么时间开始值机	16
儿童票在哪里查行程	2
pro版区别	16
出你媽	12
