text	label
7月13日深圳去重庆的深航ZH9425需要申请一份素餐。谢谢	14
如何办理电子登机牌	3
手机从哪里选座？	7
儿童选座	7
怎么预订国际航班	1
为什么换不了坐位	7
亲，航班取消了，可以改期，还是？费用怎么退回	14
热力图中我北京已点亮，为什么行程中没有该信息呢？	9
座位被换	7
划线的旅豆一直没结算	4
手机值机时间	7
被限制了是什么意思	14
账号已经被认证 但是原来的账号忘记了怎么找回	20
12岁以下儿童需要携带什么证件登机	10
open票是什么意思	14
这个办不了值机，是什么情况？	7
已满12岁，没办身份证，如何购机票	10
我明天的行程为什么不能值机	7
没有登机牌 电子客票号	14
输入身份证查航班可吗	9
自热小火锅可以托运么	19
航班不能值机	7
国外的出行怎么查不到	9
手机选座取消不了了，影响改签	7
人工客服	11
如何更改认证证件	20
为什么不能手机值机呢	7
我6月6日的行程想订素食，怎么定	14
上个月的飞行记录未显示，怎么添加	9
我的值机为什么没办法取消？	7
如何开发票	8
国际航班的旅行为什么没有显示	9
如何预约WiFi	6
最晚提前多久到机场	14
如何为他人取消值机？	7
延误证明在哪里开？	14
为什么把我的座位调换到10A	7
为啥不能手机值机了？	7
飞机起飞前多久不接受安检	14
这个不可以直接订票吗？只能查询航班票数？	1
请问怎么选位置	7
从国外回来乘坐国内的航班，值机的时候证件用身份证还是护照？	10
取消租车	6
定型喷雾可以托运么？	19
显示非本人行程，不可值机	7
厦航小孩无法值机	7
我要取消明天的选座可以吗？	7
同行人信息在哪里修改？	7
加了QQ号一直没人接呀。	14
怎么在上面订票	1
怎么关掉行程保护	7
同行人登机牌	3
可以打印电子发票吗	8
迪拜飞国内能否查询是否购票成功	9
在没	18
无法为孩子值机	7
手机值机后 是否可以改签？	14
水果可以托运嘛？	19
手机值机是什么意思	7
孕妇要证明吗	6
你好，儿童如何值机？	7
要取消值机，账户锁死了	7
安全出口位置	7
我的手机为什么选不了座位	7
怎么选择飞机座位？	7
你好，护照订的行程为什么没有自动导入呢？	9
找不到预留座位	7
我怎么看直机信息	7
临时身份证机场能否办理？	10
怎么查询朋友的航班	9
麻烦帮我取消座位预留信息！	7
这个怎么选不了座位	7
约车可以开发票吗	12
现在我想机票改期了哦	14
中转行李托运能直接到目的地吗	14
怎么在线选座	7
现在怎么办理手机值机	7
为什么改变我的值机座位	7
我如何帮朋友值机	7
如何订机票？	1
我想在手机上办理值机手续，请问几点能办	7
你们的服务超级烂 没人回复也就算了 并且给一个永远加不进去的QQ群	14
预订机票怎么办理	1
请问小孩怎么认证身份?我想选机票座位	7
你好，我想问一下怎么在线购买行李额	19
带锁的座位是什么意思？	7
座位信息在哪里？	7
联航如何查询行程	9
不管用	5
麻烦问下，有身份证号码和电话号码可以查询航班信息吗	9
我怎么取消同行人的值机	7
你好，请问为什么无法上传行程单	8
使用过的航程还可以添加么	9
换了一个手机后，用户名登录不了，不知是帐户还是密码记错	20
为啥直接显示非本人行程无法直接	7
无法值机	7
港澳通行证能买机票吗	10
值机时总显示乘机人已开启行程保护，这是为什么	7
你好，我的账户被他人占用是怎么回事	20
为什么没有我出国的记录	9
能买机票吗	1
如何查以前的行程和行程单	8
儿童登机	6
胡文林的机票怎么取消值机	7
预约接机，司机没有来，退钱给我	12
为什么2010年的飞行记录没有呢	9
午餐	14
请问，白酒可以不托运了	19
提前几天选座	7
为什么我的旅程数没有导入凤凰知音的会员卡里	14
买票时名字写错一个字怎么办	1
怎么注销？	20
孕妇可以在网上订票嘛	6
无法办理手机值机	7
发票如何取得	8
行程不完整	9
航班显示已退票	14
怎么取消不了值机	7
发票报销	8
这个软件能做什么	18
本人可以为同行人选座位吗	7
18A座位靠窗吗	7
港澳航班 如何值机	7
如何帮孩子值机	7
有人工客服嘛	11
飞机群怎么进啊	14
为什么我在携程购买的国外航空公司机票，行程里没有显示？	9
你好 我要删除认证证件信息	20
如何查看发票快递信息	8
我想问下电子登机牌可以换成纸质登机牌吗	3
怎么给机票选座	7
自动值机选座	7
我今年初去马尔代夫旅游的行程为什么没有提取出来？	9
谢谢小横！再问：国航、山航、南航、东航等其它航空公司的机票啥时候可以在手机APP上购票呀？	1
如何查询我的电子凭证	3
我的行程怎么没有显示	9
购买飞机延误险	14
宁波飞澳门的航班怎么查询	9
行李都能带什么	19
为什么儿童不能提前预定座位	7
手机关机可以托运吗	19
托运行李液体	19
怎么手机值机	7
儿童怎么购买机票	1
可以不托运的物品有哪些	19
请问付费选座订单在哪里	7
缺少行程记录	9
怎么加入同航班群聊	14
第一次坐飞机不懂怎么办	7
为什么前面的位置不能选？	7
可以认证几个人	20
我要投诉！	5
值机能不能大人和小朋友选择在一起？	7
为什么未来行程这里找不到	9
为什么值机一直显示网络超时	14
港澳通行证能否订票	1
物品遗失在飞机上	6
摆渡车怎么坐	6
预定机票	1
值机了怎么取消	7
如何办理升舱？	13
机票早已订好，但近期不慎脚受伤，我想申请地面轮椅，如何办理？	6
有活人吗	18
怎么打印有单位抬头发票	8
怎么能查别人的航班信息	9
1w毫安的充电宝需要走申报通道吗	14
我16号的行程，为什么还不能打印行程单	8
查不到航班	9
如何升级pro	14
答非所问！	5
怎么查不到航班信息？	9
历史行程无法显示	9
我从乌鲁木齐乘坐西部航空回重庆，没有免费行李托运，请问是怎么计费的	19
为什么和成人一起添加值机，儿童显示航班不同？FM821	7
户口本可以乘坐飞机吗	10
如何查询两地间的飞行里程	14
为什么无法录入家人证件一直显示证件格式不对	20
我取消今天下午出发重庆到天津的值机业务取消不了	7
儿同为什么不能办理值机	7
保险在哪	14
我的位子选的怎么取消呀？	7
身份证读不出信息，如何办理登机	10
没有取消座位按钮	7
我要取消值机，怎么操作不了呢	7
神州专车接机司机联系不上，关机。如何退款？	12
老是跳出非本人行程，不能值机	7
怎么选取座位	7
请问我选好的座位为什么换登机牌时却没有啦	7
怎么定票	1
国际航班阿胶糕可以托运吗	19
hi	18
您好，如何办理国际航班的值机？	7
